period,Day-ahead demand forecast,Demand,Net generation,Total interchange
2020-01-18T19,39308.0,38189.0,38222.0,33.0
2020-01-18T20,38939.0,37564.0,37624.0,60.0
2020-01-18T21,37750.0,37027.0,37153.0,126.0
2020-01-18T22,37731.0,36675.0,36790.0,115.0
2020-01-18T23,37246.0,36666.0,36693.0,26.0
2020-01-19T00,38620.0,37399.0,37411.0,11.0
2020-01-19T01,40622.0,38966.0,39088.0,122.0
2020-01-19T02,40455.0,39042.0,39182.0,139.0
2020-01-19T03,40324.0,38802.0,39063.0,261.0
2020-01-19T04,39683.0,38290.0,38549.0,258.0
2020-01-19T05,39025.0,37492.0,37767.0,275.0
2020-01-19T06,37947.0,36546.0,36716.0,170.0
2020-01-19T07,37185.0,35825.0,35841.0,16.0
2020-01-19T08,36491.0,35409.0,35424.0,15.0
2020-01-19T09,36673.0,35298.0,35313.0,15.0
2020-01-19T10,37168.0,35618.0,35623.0,4.0
2020-01-19T11,37907.0,36326.0,36330.0,4.0
2020-01-19T12,38990.0,37520.0,37524.0,4.0
2020-01-19T13,41103.0,39163.0,39167.0,4.0
2020-01-19T14,42538.0,41251.0,41242.0,-9.0
2020-01-19T15,43561.0,42285.0,42276.0,-9.0
2020-01-19T16,43209.0,41972.0,41964.0,-9.0
2020-01-19T17,42216.0,40926.0,40918.0,-9.0
2020-01-19T18,40916.0,39682.0,39674.0,-9.0
2020-01-19T19,39574.0,38441.0,38432.0,-9.0
2020-01-19T20,38391.0,37327.0,37331.0,4.0
2020-01-19T21,37304.0,36452.0,36457.0,4.0
2020-01-19T22,36902.0,35994.0,35999.0,4.0
2020-01-19T23,37352.0,36204.0,36208.0,4.0
2020-01-20T00,39098.0,37709.0,37701.0,-9.0
2020-01-20T01,41830.0,40531.0,40528.0,-3.0
2020-01-20T02,42591.0,41339.0,41087.0,-253.0
2020-01-20T03,43260.0,41500.0,41466.0,-34.0
2020-01-20T04,43112.0,41094.0,40997.0,-98.0
2020-01-20T05,41933.0,39766.0,39765.0,-2.0
2020-01-20T06,40246.0,38286.0,38287.0,1.0
2020-01-20T07,38268.0,37359.0,37360.0,1.0
2020-01-20T08,37722.0,36990.0,36991.0,1.0
2020-01-20T09,37974.0,37103.0,37108.0,4.0
2020-01-20T10,38497.0,37648.0,37653.0,4.0
2020-01-20T11,39651.0,38897.0,38902.0,4.0
2020-01-20T12,41863.0,41433.0,41438.0,4.0
2020-01-20T13,45053.0,44751.0,44742.0,-9.0
2020-01-20T14,46950.0,47030.0,47051.0,20.0
2020-01-20T15,47133.0,46941.0,47022.0,81.0
2020-01-20T16,46067.0,45604.0,45743.0,139.0
2020-01-20T17,44849.0,44098.0,44416.0,318.0
2020-01-20T18,43277.0,42225.0,42533.0,307.0
2020-01-20T19,41411.0,40676.0,40944.0,267.0
2020-01-20T20,39909.0,39529.0,39545.0,15.0
2020-01-20T21,38744.0,38614.0,38623.0,9.0
2020-01-20T22,37947.0,38128.0,38137.0,8.0
2020-01-20T23,38242.0,38214.0,38222.0,7.0
2020-01-21T00,39987.0,39453.0,39389.0,-64.0
2020-01-21T01,42575.0,42280.0,42091.0,-189.0
2020-01-21T02,43347.0,42969.0,42951.0,-19.0
